"x","y","bio_flux_opt","yymm"
-179.5,89.5,0,"201201"
-178.5,89.5,0,"201201"
-177.5,89.5,0,"201201"
-176.5,89.5,0,"201201"
-175.5,89.5,0,"201201"
-174.5,89.5,0,"201201"
-173.5,89.5,0,"201201"
-172.5,89.5,0,"201201"
-171.5,89.5,0,"201201"
-170.5,89.5,0,"201201"
-169.5,89.5,0,"201201"
-168.5,89.5,0,"201201"
-167.5,89.5,0,"201201"
-166.5,89.5,0,"201201"
-165.5,89.5,0,"201201"
-164.5,89.5,0,"201201"
-163.5,89.5,0,"201201"
-162.5,89.5,0,"201201"
-161.5,89.5,0,"201201"
-160.5,89.5,0,"201201"
-159.5,89.5,0,"201201"
-158.5,89.5,0,"201201"
-157.5,89.5,0,"201201"
-156.5,89.5,0,"201201"
-155.5,89.5,0,"201201"
-154.5,89.5,0,"201201"
-153.5,89.5,0,"201201"
-152.5,89.5,0,"201201"
-151.5,89.5,0,"201201"
-150.5,89.5,0,"201201"
-149.5,89.5,0,"201201"
-148.5,89.5,0,"201201"
-147.5,89.5,0,"201201"
-146.5,89.5,0,"201201"
-145.5,89.5,0,"201201"
-144.5,89.5,0,"201201"
-143.5,89.5,0,"201201"
-142.5,89.5,0,"201201"
-141.5,89.5,0,"201201"
-140.5,89.5,0,"201201"
-139.5,89.5,0,"201201"
-138.5,89.5,0,"201201"
-137.5,89.5,0,"201201"
-136.5,89.5,0,"201201"
-135.5,89.5,0,"201201"
-134.5,89.5,0,"201201"
-133.5,89.5,0,"201201"
-132.5,89.5,0,"201201"
-131.5,89.5,0,"201201"
-130.5,89.5,0,"201201"
-129.5,89.5,0,"201201"
-128.5,89.5,0,"201201"
-127.5,89.5,0,"201201"
-126.5,89.5,0,"201201"
-125.5,89.5,0,"201201"
-124.5,89.5,0,"201201"
-123.5,89.5,0,"201201"
-122.5,89.5,0,"201201"
-121.5,89.5,0,"201201"
-120.5,89.5,0,"201201"
-119.5,89.5,0,"201201"
-118.5,89.5,0,"201201"
-117.5,89.5,0,"201201"
-116.5,89.5,0,"201201"
-115.5,89.5,0,"201201"
-114.5,89.5,0,"201201"
-113.5,89.5,0,"201201"
-112.5,89.5,0,"201201"
-111.5,89.5,0,"201201"
-110.5,89.5,0,"201201"
-109.5,89.5,0,"201201"
-108.5,89.5,0,"201201"
-107.5,89.5,0,"201201"
-106.5,89.5,0,"201201"
-105.5,89.5,0,"201201"
-104.5,89.5,0,"201201"
-103.5,89.5,0,"201201"
-102.5,89.5,0,"201201"
-101.5,89.5,0,"201201"
-100.5,89.5,0,"201201"
-99.5,89.5,0,"201201"
-98.5,89.5,0,"201201"
-97.5,89.5,0,"201201"
-96.5,89.5,0,"201201"
-95.5,89.5,0,"201201"
-94.5,89.5,0,"201201"
-93.5,89.5,0,"201201"
-92.5,89.5,0,"201201"
-91.5,89.5,0,"201201"
-90.5,89.5,0,"201201"
-89.5,89.5,0,"201201"
-88.5,89.5,0,"201201"
-87.5,89.5,0,"201201"
-86.5,89.5,0,"201201"
-85.5,89.5,0,"201201"
-84.5,89.5,0,"201201"
-83.5,89.5,0,"201201"
-82.5,89.5,0,"201201"
-81.5,89.5,0,"201201"
-80.5,89.5,0,"201201"
-79.5,89.5,0,"201201"
-78.5,89.5,0,"201201"
-77.5,89.5,0,"201201"
-76.5,89.5,0,"201201"
-75.5,89.5,0,"201201"
-74.5,89.5,0,"201201"
-73.5,89.5,0,"201201"
-72.5,89.5,0,"201201"
-71.5,89.5,0,"201201"
-70.5,89.5,0,"201201"
-69.5,89.5,0,"201201"
-68.5,89.5,0,"201201"
-67.5,89.5,0,"201201"
-66.5,89.5,0,"201201"
-65.5,89.5,0,"201201"
-64.5,89.5,0,"201201"
-63.5,89.5,0,"201201"
-62.5,89.5,0,"201201"
-61.5,89.5,0,"201201"
-60.5,89.5,0,"201201"
-59.5,89.5,0,"201201"
-58.5,89.5,0,"201201"
-57.5,89.5,0,"201201"
-56.5,89.5,0,"201201"
-55.5,89.5,0,"201201"
-54.5,89.5,0,"201201"
-53.5,89.5,0,"201201"
-52.5,89.5,0,"201201"
-51.5,89.5,0,"201201"
-50.5,89.5,0,"201201"
-49.5,89.5,0,"201201"
-48.5,89.5,0,"201201"
-47.5,89.5,0,"201201"
-46.5,89.5,0,"201201"
-45.5,89.5,0,"201201"
-44.5,89.5,0,"201201"
-43.5,89.5,0,"201201"
-42.5,89.5,0,"201201"
-41.5,89.5,0,"201201"
-40.5,89.5,0,"201201"
-39.5,89.5,0,"201201"
-38.5,89.5,0,"201201"
-37.5,89.5,0,"201201"
-36.5,89.5,0,"201201"
-35.5,89.5,0,"201201"
-34.5,89.5,0,"201201"
-33.5,89.5,0,"201201"
-32.5,89.5,0,"201201"
-31.5,89.5,0,"201201"
-30.5,89.5,0,"201201"
-29.5,89.5,0,"201201"
-28.5,89.5,0,"201201"
-27.5,89.5,0,"201201"
-26.5,89.5,0,"201201"
-25.5,89.5,0,"201201"
-24.5,89.5,0,"201201"
-23.5,89.5,0,"201201"
-22.5,89.5,0,"201201"
-21.5,89.5,0,"201201"
-20.5,89.5,0,"201201"
-19.5,89.5,0,"201201"
-18.5,89.5,0,"201201"
-17.5,89.5,0,"201201"
-16.5,89.5,0,"201201"
-15.5,89.5,0,"201201"
-14.5,89.5,0,"201201"
-13.5,89.5,0,"201201"
-12.5,89.5,0,"201201"
-11.5,89.5,0,"201201"
-10.5,89.5,0,"201201"
-9.5,89.5,0,"201201"
-8.5,89.5,0,"201201"
-7.5,89.5,0,"201201"
-6.5,89.5,0,"201201"
-5.5,89.5,0,"201201"
-4.5,89.5,0,"201201"
-3.5,89.5,0,"201201"
-2.5,89.5,0,"201201"
-1.5,89.5,0,"201201"
-0.5,89.5,0,"201201"
0.5,89.5,0,"201201"
1.5,89.5,0,"201201"
2.5,89.5,0,"201201"
3.5,89.5,0,"201201"
4.5,89.5,0,"201201"
5.5,89.5,0,"201201"
6.5,89.5,0,"201201"
7.5,89.5,0,"201201"
8.5,89.5,0,"201201"
9.5,89.5,0,"201201"
10.5,89.5,0,"201201"
11.5,89.5,0,"201201"
12.5,89.5,0,"201201"
13.5,89.5,0,"201201"
14.5,89.5,0,"201201"
15.5,89.5,0,"201201"
16.5,89.5,0,"201201"
17.5,89.5,0,"201201"
18.5,89.5,0,"201201"
19.5,89.5,0,"201201"
20.5,89.5,0,"201201"
21.5,89.5,0,"201201"
22.5,89.5,0,"201201"
23.5,89.5,0,"201201"
24.5,89.5,0,"201201"
25.5,89.5,0,"201201"
26.5,89.5,0,"201201"
27.5,89.5,0,"201201"
28.5,89.5,0,"201201"
29.5,89.5,0,"201201"
30.5,89.5,0,"201201"
31.5,89.5,0,"201201"
32.5,89.5,0,"201201"
33.5,89.5,0,"201201"
34.5,89.5,0,"201201"
35.5,89.5,0,"201201"
36.5,89.5,0,"201201"
37.5,89.5,0,"201201"
38.5,89.5,0,"201201"
39.5,89.5,0,"201201"
40.5,89.5,0,"201201"
41.5,89.5,0,"201201"
42.5,89.5,0,"201201"
43.5,89.5,0,"201201"
44.5,89.5,0,"201201"
45.5,89.5,0,"201201"
46.5,89.5,0,"201201"
47.5,89.5,0,"201201"
48.5,89.5,0,"201201"
49.5,89.5,0,"201201"
50.5,89.5,0,"201201"
51.5,89.5,0,"201201"
52.5,89.5,0,"201201"
53.5,89.5,0,"201201"
54.5,89.5,0,"201201"
55.5,89.5,0,"201201"
56.5,89.5,0,"201201"
57.5,89.5,0,"201201"
58.5,89.5,0,"201201"
59.5,89.5,0,"201201"
60.5,89.5,0,"201201"
61.5,89.5,0,"201201"
62.5,89.5,0,"201201"
63.5,89.5,0,"201201"
64.5,89.5,0,"201201"
65.5,89.5,0,"201201"
66.5,89.5,0,"201201"
67.5,89.5,0,"201201"
68.5,89.5,0,"201201"
